tool,execution_id,project,caller_class,callee_class,type,covered_lines,total_lines,line_coverage_perc,killed_mutants,total_mutants,mutation_coverage_perc
randoop-caller5,2,time,org.joda.time.chrono.ZonedChronology$ZonedDateTimeField,org.joda.time.DateTimeZone,call,0,,0,0,,0
cling,2,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,0,335,0,0,734,0
evosuite-callee5,2,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,277,335,83,407,734,55
evosuite-caller5,2,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,277,335,83,410,734,56
randoop,2,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,247,335,74,474,734,65
randoop-callee5,2,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,2,time,org.joda.time.chrono.ISOChronology,org.joda.time.DateTimeZone,call,60,335,18,4,734,1
cling,2,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,196,335,59,205,734,28
evosuite-callee5,2,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,277,335,83,407,734,55
evosuite-caller5,2,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,277,335,83,436,734,59
randoop,2,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,248,335,74,401,734,55
randoop-callee5,2,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,2,time,org.joda.time.DateTimeUtils,org.joda.time.DateTimeZone,call,60,335,18,2,734,0
cling,2,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,87,337,26,33,1510,2
evosuite-callee5,2,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,328,337,97,280,1510,19
evosuite-caller5,2,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,328,337,97,280,1510,19
randoop,2,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,0,190,0,0,509,0
randoop-callee5,2,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,189,337,56,138,1510,9
randoop-caller5,2,time,org.joda.time.LocalDate,org.joda.time.format.ISODateTimeFormat,call,0,,0,0,,0
cling,2,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,0,225,0,0,801,0
evosuite-callee5,2,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,222,225,99,589,801,74
evosuite-caller5,2,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,222,225,99,589,801,74
randoop,2,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,211,225,94,652,801,81
randoop-callee5,2,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,203,225,90,516,801,64
randoop-caller5,2,time,org.joda.time.LocalDate,org.joda.time.DateTime,call,0,,0,0,,0
cling,2,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,6,71,8,12,323,4
evosuite-callee5,2,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,69,71,97,224,323,69
evosuite-caller5,2,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,69,71,97,230,323,71
randoop,2,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,63,71,89,262,323,81
randoop-callee5,2,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,63,71,89,197,323,61
randoop-caller5,2,time,org.joda.time.DateTimeZone,org.joda.time.field.FieldUtils,call,0,71,0,0,323,0
cling,2,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,214,335,64,331,734,45
evosuite-callee5,2,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,277,335,83,407,734,55
evosuite-caller5,2,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,277,335,83,419,734,57
randoop,2,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,235,335,70,358,734,49
randoop-callee5,2,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,2,time,org.joda.time.LocalDateTime,org.joda.time.DateTimeZone,call,92,335,27,60,734,8
cling,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,155,335,46,133,734,18
evosuite-callee5,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,277,335,83,407,734,55
evosuite-caller5,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,277,335,83,408,734,56
randoop,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,241,335,72,365,734,50
randoop-callee5,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.DateTimeZone,call,60,335,18,2,734,0
cling,2,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,23,151,15,62,542,11
evosuite-callee5,2,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,148,151,98,417,542,77
evosuite-caller5,2,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,148,151,98,424,542,78
randoop,2,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,112,151,74,187,542,35
randoop-callee5,2,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,77,151,51,46,542,8
randoop-caller5,2,time,org.joda.time.DateTimeZone,org.joda.time.format.FormatUtils,call,0,,0,0,,0
cling,2,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,86,191,45,224,642,35
evosuite-callee5,2,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,187,191,98,486,642,76
evosuite-caller5,2,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,187,191,98,422,642,66
randoop,2,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,153,191,80,480,642,75
randoop-callee5,2,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,70,191,37,125,642,19
randoop-caller5,2,time,org.joda.time.DateTimeZone,org.joda.time.format.DateTimeFormat,call,0,,0,0,,0
cling,2,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,169,335,50,275,734,37
evosuite-callee5,2,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,277,335,83,407,734,55
evosuite-caller5,2,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,277,335,83,403,734,55
randoop,2,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,0,190,0,0,509,0
randoop-callee5,2,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,0,,0,0,,0
randoop-caller5,2,time,org.joda.time.tz.ZoneInfoCompiler,org.joda.time.DateTimeZone,call,0,335,0,0,734,0
cling,2,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,34,207,16,38,466,8
evosuite-callee5,2,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,198,207,96,267,466,57
evosuite-caller5,2,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,198,207,96,268,466,58
randoop,2,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,156,207,75,267,466,57
randoop-callee5,2,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,120,207,58,96,466,21
randoop-caller5,2,time,org.joda.time.LocalDateTime,org.joda.time.format.DateTimeFormatter,call,70,207,34,65,466,14
cling,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,26,43,60,22,77,29
evosuite-callee5,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,0,43,0,0,77,0
evosuite-caller5,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,43,43,100,46,77,60
randoop,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,42,43,98,64,77,83
randoop-callee5,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,0,,0,0,,0
randoop-caller5,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormat$StyleFormatter,call,6,43,14,0,77,0
cling,2,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,101,192,53,222,642,35
evosuite-callee5,2,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,451,642,70
evosuite-caller5,2,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,452,642,70
randoop,2,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,179,192,93,572,642,89
randoop-callee5,2,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,174,192,91,446,642,69
randoop-caller5,2,time,org.joda.time.format.ISODateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,99,192,52,3,642,0
cling,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,75,109,69,64,274,23
evosuite-callee5,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,109,109,100,176,274,64
evosuite-caller5,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,109,109,100,177,274,65
randoop,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,97,109,89,208,274,76
randoop-callee5,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,73,109,67,72,274,26
randoop-caller5,2,time,org.joda.time.format.DateTimeFormatter,org.joda.time.format.DateTimeParserBucket,call,0,109,0,0,274,0
cling,2,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,60,192,31,47,642,7
evosuite-callee5,2,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,451,642,70
evosuite-caller5,2,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,456,642,71
randoop,2,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,177,192,92,540,642,84
randoop-callee5,2,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,174,192,91,446,642,69
randoop-caller5,2,time,org.joda.time.format.DateTimeFormatterBuilder$PaddedNumber,org.joda.time.format.DateTimeFormatterBuilder,call,0,,0,0,,0
cling,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,70,192,36,79,642,12
evosuite-callee5,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,451,642,70
evosuite-caller5,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,191,192,99,456,642,71
randoop,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,186,192,97,626,642,98
randoop-callee5,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,174,192,91,446,642,69
randoop-caller5,2,time,org.joda.time.format.DateTimeFormat,org.joda.time.format.DateTimeFormatterBuilder,call,13,192,7,2,642,0
cling,2,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,1,82,1,0,165,0
evosuite-callee5,2,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,73,82,89,42,165,25
evosuite-caller5,2,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,74,82,90,62,165,38
randoop,2,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,74,82,90,139,165,84
randoop-callee5,2,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,0,,0,0,,0
randoop-caller5,2,time,org.joda.time.format.DateTimeFormatterBuilder,org.joda.time.format.DateTimeFormatterBuilder$TextField,call,7,82,9,0,165,0
cling,2,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,74,109,68,54,274,20
evosuite-callee5,2,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,109,109,100,176,274,64
evosuite-caller5,2,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,109,109,100,175,274,64
randoop,2,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,104,109,95,242,274,88
randoop-callee5,2,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,73,109,67,72,274,26
randoop-caller5,2,time,org.joda.time.format.DateTimeFormatterBuilder$TextField,org.joda.time.format.DateTimeParserBucket,call,0,,0,0,,0
cling,2,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,4,109,4,15,274,5
evosuite-callee5,2,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,109,109,100,176,274,64
evosuite-caller5,2,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,109,109,100,176,274,64
randoop,2,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,101,109,93,243,274,89
randoop-callee5,2,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,73,109,67,72,274,26
randoop-caller5,2,time,org.joda.time.format.DateTimeParserBucket$SavedState,org.joda.time.format.DateTimeParserBucket,call,0,,0,0,,0
cling,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,9,89,10,6,345,2
evosuite-callee5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,88,89,99,196,345,57
evosuite-caller5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,88,89,99,201,345,58
randoop,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,0,89,0,0,345,0
randoop-callee5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,0,,0,0,,0
randoop-caller5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.ProxyObjectType,sub/super,0,,0,0,,0
cling,2,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,390,971,40,827,2403,34
evosuite-callee5,2,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,602,971,62,769,2403,32
evosuite-caller5,2,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,615,971,63,755,2403,31
randoop,2,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,,0,0,,0
randoop-caller5,2,closure,com.google.javascript.rhino.head.IdScriptableObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,971,0,0,2403,0
cling,2,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,71,251,28,114,931,12
evosuite-callee5,2,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,240,251,96,584,931,63
evosuite-caller5,2,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,240,251,96,590,931,63
randoop,2,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,2,251,1,5,931,1
randoop-callee5,2,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,0,,0,0,,0
randoop-caller5,2,closure,com.google.javascript.rhino.jstype.PrototypeObjectType,com.google.javascript.rhino.jstype.JSType,sub/super,0,,0,0,,0
cling,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,78,245,32,81,483,17
evosuite-callee5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,240,245,98,303,483,63
evosuite-caller5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,240,245,98,308,483,64
randoop,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,0,245,0,0,483,0
randoop-callee5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,0,245,0,0,483,0
randoop-caller5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.UnionType,sub/super,0,,0,0,,0
cling,2,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,392,971,40,855,2403,36
evosuite-callee5,2,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,602,971,62,769,2403,32
evosuite-caller5,2,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,621,971,64,784,2403,33
randoop,2,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,,0,0,,0
randoop-caller5,2,closure,com.google.javascript.rhino.head.NativeObject,com.google.javascript.rhino.head.ScriptableObject,sub/super,509,971,52,775,2403,32
cling,2,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,16,190,8,40,509,8
evosuite-callee5,2,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,129,190,68,214,509,42
evosuite-caller5,2,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,129,190,68,214,509,42
randoop,2,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,17,190,9,34,509,7
randoop-caller5,2,closure,com.google.javascript.rhino.head.ScriptableObject,com.google.javascript.rhino.head.FunctionObject,sub/super,0,,0,0,,0
cling,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,93,243,38,181,491,37
evosuite-callee5,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,117,243,48,151,491,31
evosuite-caller5,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,137,243,56,164,491,33
randoop,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,0,243,0,0,491,0
randoop-caller5,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.IdScriptableObject,sub/super,118,243,49,159,491,32
cling,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,293,971,30,648,2403,27
evosuite-callee5,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,602,971,62,769,2403,32
evosuite-caller5,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,613,971,63,765,2403,32
randoop,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,0,,0,0,,0
randoop-caller5,2,closure,com.google.javascript.rhino.head.NativeArray,com.google.javascript.rhino.head.ScriptableObject,sub/super,513,971,53,776,2403,32
cling,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,235,1948,12,145,4058,4
evosuite-callee5,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,1359,1948,70,1143,4058,28
evosuite-caller5,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,1359,1948,70,1140,4058,28
randoop,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,228,1948,12,143,4058,4
randoop-caller5,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Parser,sub/super,228,1948,12,144,4058,4
cling,2,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,0,610,0,0,1641,0
evosuite-callee5,2,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,281,610,46,832,1641,51
evosuite-caller5,2,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,281,610,46,832,1641,51
randoop,2,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,0,,0,0,,0
randoop-caller5,2,closure,com.google.javascript.jscomp.CommandLineRunner,com.google.javascript.jscomp.AbstractCommandLineRunner,sub/super,0,,0,0,,0
cling,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,172,398,43,577,1240,47
evosuite-callee5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,331,398,83,1008,1240,81
evosuite-caller5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,331,398,83,797,1240,64
randoop,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,2,398,1,0,1240,0
randoop-callee5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,2,398,1,0,1240,0
randoop-caller5,2,closure,com.google.javascript.rhino.jstype.JSType,com.google.javascript.rhino.jstype.FunctionType,sub/super,0,,0,0,,0
cling,2,closure,com.google.javascript.jscomp.NodeUtil,com.google.javascript.rhino.Node,call,286,724,40,981,2336,42
evosuite-callee5,2,closure,com.google.javascript.jscomp.NodeUtil,com.google.javascript.rhino.Node,call,700,724,97,1746,2336,75
evosuite-caller5,2,closure,com.google.javascript.jscomp.NodeUtil,com.google.javascript.rhino.Node,call,701,724,97,1693,2336,72
randoop,2,closure,com.google.javascript.jscomp.NodeUtil,com.google.javascript.rhino.Node,call,602,724,83,1344,2336,58
randoop-callee5,2,closure,com.google.javascript.jscomp.NodeUtil,com.google.javascript.rhino.Node,call,598,724,83,1294,2336,55
randoop-caller5,2,closure,com.google.javascript.jscomp.NodeUtil,com.google.javascript.rhino.Node,call,6,724,1,0,2336,0
cling,2,closure,com.google.javascript.rhino.JSDocInfoBuilder,com.google.javascript.rhino.JSDocInfo,call,272,343,79,741,954,78
evosuite-callee5,2,closure,com.google.javascript.rhino.JSDocInfoBuilder,com.google.javascript.rhino.JSDocInfo,call,0,343,0,0,954,0
evosuite-caller5,2,closure,com.google.javascript.rhino.JSDocInfoBuilder,com.google.javascript.rhino.JSDocInfo,call,237,343,69,480,954,50
randoop,2,closure,com.google.javascript.rhino.JSDocInfoBuilder,com.google.javascript.rhino.JSDocInfo,call,303,343,88,708,954,74
randoop-callee5,2,closure,com.google.javascript.rhino.JSDocInfoBuilder,com.google.javascript.rhino.JSDocInfo,call,125,343,36,293,954,31
randoop-caller5,2,closure,com.google.javascript.rhino.JSDocInfoBuilder,com.google.javascript.rhino.JSDocInfo,call,217,343,63,487,954,51
cling,2,closure,com.google.javascript.rhino.head.Parser,com.google.javascript.rhino.head.CompilerEnvirons,call,59,92,64,102,151,68
evosuite-callee5,2,closure,com.google.javascript.rhino.head.Parser,com.google.javascript.rhino.head.CompilerEnvirons,call,90,92,98,128,151,85
evosuite-caller5,2,closure,com.google.javascript.rhino.head.Parser,com.google.javascript.rhino.head.CompilerEnvirons,call,90,92,98,114,151,75
randoop,2,closure,com.google.javascript.rhino.head.Parser,com.google.javascript.rhino.head.CompilerEnvirons,call,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.Parser,com.google.javascript.rhino.head.CompilerEnvirons,call,82,92,89,105,151,70
randoop-caller5,2,closure,com.google.javascript.rhino.head.Parser,com.google.javascript.rhino.head.CompilerEnvirons,call,17,92,18,5,151,3
cling,2,closure,com.google.javascript.rhino.head.Interpreter,com.google.javascript.rhino.head.Context,call,3,514,1,0,1202,0
evosuite-callee5,2,closure,com.google.javascript.rhino.head.Interpreter,com.google.javascript.rhino.head.Context,call,316,514,61,537,1202,45
evosuite-caller5,2,closure,com.google.javascript.rhino.head.Interpreter,com.google.javascript.rhino.head.Context,call,317,514,62,475,1202,40
randoop,2,closure,com.google.javascript.rhino.head.Interpreter,com.google.javascript.rhino.head.Context,call,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.Interpreter,com.google.javascript.rhino.head.Context,call,0,,0,0,,0
randoop-caller5,2,closure,com.google.javascript.rhino.head.Interpreter,com.google.javascript.rhino.head.Context,call,8,514,2,1,1202,0
cling,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Decompiler,call,40,378,11,98,887,11
evosuite-callee5,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Decompiler,call,369,378,98,453,887,51
evosuite-caller5,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Decompiler,call,369,378,98,461,887,52
randoop,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Decompiler,call,0,190,0,0,509,0
randoop-callee5,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Decompiler,call,6,378,2,5,887,1
randoop-caller5,2,closure,com.google.javascript.rhino.head.IRFactory,com.google.javascript.rhino.head.Decompiler,call,13,378,3,13,887,1
