tool,execution_id,project,caller_class,callee_class,total_cb,covered_cb
cling,2,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,3,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,4,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,5,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,6,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,7,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,8,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,9,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,10,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,11,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,12,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,13,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,14,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,15,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,16,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,17,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,18,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,19,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,20,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,59,0
cling,1,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1313
cling,2,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1296
cling,3,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1231
cling,4,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1258
cling,5,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1053
cling,6,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1336
cling,7,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1345
cling,8,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1215
cling,9,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1346
cling,10,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1337
cling,11,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1097
cling,12,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1132
cling,13,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1316
cling,14,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1402
cling,15,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1312
cling,16,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1173
cling,17,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,889
cling,18,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1177
cling,19,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1238
cling,20,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,1660,1308
cling,1,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,2,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,3,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,4,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,5,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,6,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,7,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,8,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,9,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,10,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,18
cling,11,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,18
cling,12,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,13,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,14,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,15,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,18
cling,16,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,17,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,18,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,19,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,20,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,20,19
cling,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,74
cling,2,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,3
cling,3,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,3
cling,4,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,17
cling,5,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,20
cling,6,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,44
cling,7,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,3
cling,8,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,3
cling,9,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,3
cling,10,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,57
cling,11,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,44
cling,12,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,72
cling,13,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,3
cling,14,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,18
cling,15,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,18
cling,16,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,17
cling,17,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,70
cling,18,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,3
cling,19,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,17
cling,20,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,685,44
cling,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,6
cling,2,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,5
cling,3,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,5
cling,4,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,7
cling,5,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,7
cling,6,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,3
cling,7,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,3
cling,8,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,6
cling,9,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,5
cling,10,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,6
cling,11,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,5
cling,12,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,4
cling,13,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,3
cling,14,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,5
cling,15,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,3
cling,16,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,3
cling,17,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,7
cling,18,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,6
cling,19,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,7
cling,20,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,150,4
cling,1,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,941
cling,2,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,905
cling,3,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,995
cling,4,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,960
cling,5,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,1422,895
